candidate_id,rank,score,reasoning
CAND_0002025,1,0.9988,"5.9yr Senior AI Engineer at Apple; strong match on weaviate, pinecone, opensearch; production evidence (production, deployed); actively looking, 80% response rate, 30d notice. Gap: lacks explicit mention of elasticsearch, qdrant."
CAND_0068351,2,0.9421,"6.4yr Lead AI Engineer at Sarvam AI; strong match on elasticsearch, qdrant; production evidence (production); passive, 86% response rate. Gap: lacks explicit mention of weaviate, pinecone."
CAND_0081846,3,0.9144,"6.7yr Lead AI Engineer at Razorpay; strong match on elasticsearch, qdrant, ndcg; production evidence (serving); actively looking, 73% response rate, 30d notice. Gap: lacks explicit mention of weaviate, pinecone."
CAND_0018499,4,0.9087,"7.2yr Senior Machine Learning Engineer at Zomato; strong match on weaviate, pinecone, milvus; production evidence (deployed, serving); actively looking, 61% response rate, 15d notice. Gap: lacks explicit mention of elasticsearch, qdrant."
CAND_0094759,5,0.9022,"8.6yr Lead AI Engineer at Meta; strong match on weaviate, qdrant, a/b test; production evidence (serving); passive, 11% response rate, 30d notice. Gap: lacks explicit mention of elasticsearch, pinecone."
CAND_0006567,6,0.8949,"7.9yr Senior AI Engineer at Meta; strong match on a/b test; production evidence (shipped); actively looking, 79% response rate, 60d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0079387,7,0.8639,"6.9yr AI Engineer at Microsoft; strong match on elasticsearch, pinecone, opensearch; production evidence (production, serving); actively looking, 81% response rate, 30d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0071974,8,0.853,"7.8yr Senior AI Engineer at Netflix; strong match on weaviate, qdrant, elasticsearch; production evidence (production, deployed); actively looking, 76% response rate, 45d notice. Gap: lacks explicit mention of map, milvus."
CAND_0015065,9,0.8186,"3.9yr AI Research Engineer at Flipkart; strong match on qdrant, rag; production evidence (production, serving); actively looking, 84% response rate. Gap: lacks explicit mention of weaviate, elasticsearch."
CAND_0041402,10,0.8077,"6.3yr AI Specialist at Ola; strong match on rag; production evidence (production, serving); actively looking, 44% response rate, 60d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0033861,11,0.7922,"8.0yr Senior NLP Engineer at Mad Street Den; strong match on weaviate, qdrant, elasticsearch; production evidence (production, deployed); passive, 16% response rate, 30d notice. Gap: lacks explicit mention of map, opensearch."
CAND_0046525,12,0.7833,"6.1yr Senior Machine Learning Engineer at Genpact AI; strong match on elasticsearch, qdrant, a/b test; production evidence (serving); actively looking, 88% response rate, 60d notice. Gap: lacks explicit mention of weaviate, pinecone."
CAND_0024878,13,0.7771,"5.7yr AI Specialist at HCL; strong match on elasticsearch; production evidence (production, serving); actively looking, 84% response rate, 60d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0093193,14,0.7738,"7.9yr Senior Machine Learning Engineer at Niramai; strong match on qdrant, opensearch; actively looking, 61% response rate, 45d notice. Gap: lacks explicit mention of weaviate, elasticsearch."
CAND_0074325,15,0.7725,"3.9yr AI Research Engineer at Haptik; strong match on opensearch, pinecone, milvus; production evidence (production, serving); passive, 47% response rate, 45d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0077337,16,0.7675,"7.0yr Staff Machine Learning Engineer at Paytm; strong match on qdrant, pinecone, opensearch; production evidence (production, shipped); actively looking, 95% response rate, 60d notice. Gap: lacks explicit mention of weaviate, elasticsearch."
CAND_0044883,17,0.7671,"6.3yr AI Engineer at Mad Street Den; strong match on elasticsearch, pinecone, a/b test; production evidence (production, shipped); passive, 84% response rate. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0098846,18,0.7634,"7.6yr AI Engineer at upGrad; strong match on qdrant, rag, pinecone; production evidence (production); actively looking, 62% response rate, 45d notice. Gap: lacks explicit mention of weaviate, elasticsearch."
CAND_0074024,19,0.7492,"3.9yr AI Specialist at Haptik; strong match on rag, milvus; production evidence (production); actively looking, 50% response rate, 30d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0041611,20,0.7456,"6.4yr Staff Machine Learning Engineer at Locobuzz; strong match on weaviate, qdrant, opensearch; production evidence (serving); passive, 7% response rate, 30d notice. Gap: lacks explicit mention of elasticsearch, pinecone."
CAND_0022852,21,0.7403,"5.4yr AI Research Engineer at Zomato; strong match on pinecone; production evidence (production, serving); passive, 86% response rate. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0093883,22,0.7386,"5.0yr AI Research Engineer at Wysa; strong match on qdrant, opensearch, milvus; production evidence (production); actively looking, 56% response rate, 60d notice. Gap: lacks explicit mention of weaviate, elasticsearch."
